product_id,category,product_name,price
1,Books,Books - Usually,33.35
2,Sports,Sports - Every,259.85
3,Home,Home - Expert,290.27
4,Fashion,Fashion - Medical,307.88
5,Sports,Sports - Base,348.73
6,Sports,Sports - Number,218.24
7,Home,Home - Hear,400.32
8,Books,Books - Sing,30.51
9,Home,Home - South,38.51
10,Toys,Toys - Start,368.55
11,Books,Books - Police,163.45
12,Home,Home - Much,52.77
13,Home,Home - Parent,462.76
14,Sports,Sports - Available,398.62
15,Books,Books - College,311.62
16,Fashion,Fashion - Several,11.35
17,Home,Home - Attorney,99.03
18,Electronics,Electronics - Yard,203.59
19,Electronics,Electronics - Plan,352.65
20,Sports,Sports - Affect,232.65
21,Sports,Sports - Good,383.9
22,Books,Books - Once,39.95
23,Electronics,Electronics - Course,469.49
24,Sports,Sports - Right,290.22
25,Electronics,Electronics - Also,311.46
26,Sports,Sports - Student,342.83
27,Fashion,Fashion - Grow,122.26
28,Electronics,Electronics - Practice,261.43
29,Fashion,Fashion - Deep,127.71
30,Fashion,Fashion - Provide,419.1
31,Toys,Toys - Better,78.0
32,Books,Books - Speak,269.59
33,Toys,Toys - Wrong,84.11
34,Electronics,Electronics - Husband,100.89
35,Home,Home - In,280.81
36,Electronics,Electronics - Size,190.2
37,Fashion,Fashion - Story,212.32
38,Fashion,Fashion - Pressure,23.96
39,Fashion,Fashion - Forget,98.38
40,Home,Home - Where,124.34
41,Sports,Sports - There,10.26
42,Electronics,Electronics - Support,9.89
43,Books,Books - Once,236.79
44,Sports,Sports - Most,185.84
45,Home,Home - Sometimes,269.06
46,Toys,Toys - Thing,399.67
47,Fashion,Fashion - Themselves,217.68
48,Books,Books - Future,372.06
49,Books,Books - Up,96.71
50,Books,Books - Decide,127.06
51,Books,Books - Particularly,203.22
52,Electronics,Electronics - Special,260.3
53,Toys,Toys - Indeed,106.11
54,Books,Books - Discuss,308.68
55,Books,Books - Range,79.13
56,Sports,Sports - Role,219.85
57,Sports,Sports - Environment,261.41
58,Home,Home - Wrong,293.45
59,Fashion,Fashion - Clearly,402.84
60,Toys,Toys - Hour,482.97
61,Toys,Toys - Sort,398.15
62,Sports,Sports - City,361.51
63,Books,Books - Sea,377.05
64,Home,Home - Find,363.14
65,Sports,Sports - Look,199.32
66,Books,Books - Again,319.14
67,Electronics,Electronics - Option,416.48
68,Electronics,Electronics - Education,208.51
69,Home,Home - Behind,108.76
70,Books,Books - Property,371.06
71,Toys,Toys - Particular,148.96
72,Home,Home - Look,71.9
73,Home,Home - Affect,83.0
74,Fashion,Fashion - Ball,228.17
75,Sports,Sports - That,46.1
76,Fashion,Fashion - Onto,309.4
77,Home,Home - Stop,245.86
78,Books,Books - Attention,265.95
79,Sports,Sports - Discuss,43.05
80,Home,Home - Administration,156.75
81,Books,Books - Or,39.87
82,Sports,Sports - Father,433.62
83,Home,Home - Report,372.75
84,Home,Home - Effort,471.55
85,Toys,Toys - Own,352.06
86,Books,Books - These,213.86
87,Fashion,Fashion - Dream,451.22
88,Electronics,Electronics - Yeah,234.93
89,Sports,Sports - Near,298.66
90,Toys,Toys - Family,351.78
91,Fashion,Fashion - Season,65.16
92,Sports,Sports - Still,395.45
93,Books,Books - Left,407.46
94,Fashion,Fashion - In,61.36
95,Fashion,Fashion - Pass,463.81
96,Sports,Sports - Benefit,226.12
97,Electronics,Electronics - Affect,411.19
98,Sports,Sports - Rise,45.83
99,Books,Books - Sound,303.38
100,Sports,Sports - Enter,37.43
101,Electronics,Electronics - Something,21.67
102,Electronics,Electronics - Process,165.64
103,Electronics,Electronics - Thought,72.8
104,Electronics,Electronics - Summer,197.32
105,Fashion,Fashion - Natural,31.08
106,Electronics,Electronics - Plant,102.8
107,Electronics,Electronics - His,216.4
108,Sports,Sports - Above,374.18
109,Home,Home - Improve,106.6
110,Sports,Sports - Can,350.18
111,Sports,Sports - Answer,439.85
112,Toys,Toys - Agreement,301.85
113,Home,Home - Cold,160.49
114,Sports,Sports - Important,343.89
115,Sports,Sports - Effect,189.86
116,Books,Books - Back,188.35
117,Home,Home - Form,250.74
118,Fashion,Fashion - Above,336.05
119,Fashion,Fashion - Major,284.23
120,Books,Books - Method,140.93
121,Sports,Sports - Traditional,235.93
122,Toys,Toys - Authority,252.47
123,Sports,Sports - Energy,305.85
124,Toys,Toys - Herself,37.16
125,Sports,Sports - Exactly,215.5
126,Toys,Toys - Moment,54.04
127,Toys,Toys - Effect,121.64
128,Books,Books - Help,479.02
129,Fashion,Fashion - Next,249.77
130,Home,Home - Growth,75.75
131,Fashion,Fashion - Never,350.27
132,Books,Books - Drug,450.56
133,Home,Home - Image,286.89
134,Home,Home - Student,227.99
135,Fashion,Fashion - Study,105.46
136,Books,Books - Which,384.06
137,Fashion,Fashion - Film,9.06
138,Toys,Toys - Wait,402.29
139,Fashion,Fashion - Sort,154.44
140,Books,Books - Page,364.57
141,Home,Home - Kind,425.52
142,Sports,Sports - Son,144.63
143,Toys,Toys - Catch,415.95
144,Electronics,Electronics - Determine,89.62
145,Fashion,Fashion - Center,314.8
146,Toys,Toys - Board,76.07
147,Electronics,Electronics - Can,339.77
148,Electronics,Electronics - Know,382.81
149,Sports,Sports - Ground,276.73
150,Toys,Toys - Political,460.79
151,Toys,Toys - Either,463.64
152,Home,Home - Enter,399.1
153,Toys,Toys - Throw,462.06
154,Toys,Toys - Play,268.47
155,Toys,Toys - Although,492.43
